PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P3373;P3373S1;P3373S2;P3373S3;P3373S3A1;P3373S3A2;P3374;P3374S1;P3374S2;P3374S3;P3375S1;P3376;P3377;P3378;P3378S1;P3379;P3380;P3381;P3382;P3382S1;P3382S2;P3382S3;P3383;P3384;P3384S1;P3384S2;P3384S3;P3385;P3386;P3386S1;P3375
20241252;12;2024;8038210;1;1;1;94;;2;1829.3839934;15;2;15;15238;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038211;1;1;1;94;;2;1091.9323308;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038211;1;2;1;94;;2;1091.9323308;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038213;1;1;1;94;;2;1091.9323308;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038213;1;2;1;94;;2;1091.9323308;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038214;1;1;1;94;;2;1091.9323308;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038214;1;2;1;94;;2;1091.9323308;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038215;1;1;1;94;;2;1471.814568;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038215;1;2;1;94;;2;1471.814568;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038215;1;3;1;94;;2;1471.814568;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038215;1;4;1;94;;2;1471.814568;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038216;1;1;1;94;;2;3344.8806575;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038216;1;2;1;94;;2;3344.8806575;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038216;1;3;1;94;;2;3344.8806575;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038216;1;4;1;94;;2;3344.8806575;15;2;15;15759;.;;;1;;;;;2;;;;;;;1;.;.;.;;1;.;.;.;;;;
20241252;12;2024;8038217;1;1;1;94;;2;2582.9204285;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038217;1;2;1;94;;2;2582.9204285;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038217;1;3;1;94;;2;2582.9204285;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038217;1;4;1;94;;2;2582.9204285;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038218;1;1;1;94;;2;1471.8687329;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038218;1;2;1;94;;2;1471.8687329;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038218;1;3;1;94;;2;1471.8687329;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038219;1;1;1;94;;2;3283.1286374;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038219;1;2;1;94;;2;3283.1286374;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038219;1;3;1;94;;2;3283.1286374;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038219;1;4;1;94;;2;3283.1286374;15;1;.;.;.;;;1;;;;;2;;;;;;;1;.;.;.;;1;.;.;.;;;;
20241252;12;2024;8038220;1;1;1;94;;2;2172.0227769;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038220;1;2;1;94;;2;2172.0227769;15;2;15;15296;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038220;1;3;1;94;;2;2172.0227769;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038220;1;4;1;94;;2;2172.0227769;15;2;15;15759;.;;;1;;;;;2;;;;;;;1;.;.;.;;2;.;.;.;2;;;
20241252;12;2024;8038221;1;1;1;94;;2;2381.6535325;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038221;1;2;1;94;;2;2381.6535325;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038221;1;3;1;94;;2;2381.6535325;15;2;15;15759;.;;;1;;;;;2;;;;;;;1;.;.;.;;2;.;.;.;2;;;
20241252;12;2024;8038221;1;4;1;94;;2;2381.6535325;15;1;.;.;.;;;1;;;;;2;;;;;;;1;.;.;.;;2;.;.;.;2;;;
20241252;12;2024;8038222;1;1;1;94;;2;1992.9677209;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038222;1;2;1;94;;2;1992.9677209;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038222;1;3;1;94;;2;1992.9677209;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038223;1;1;1;94;;2;2327.3117548;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038223;1;2;1;94;;2;2327.3117548;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038223;1;3;1;94;;2;2327.3117548;15;2;15;15757;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038223;1;4;1;94;;2;2327.3117548;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038224;1;1;1;94;;2;960.90045106;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038224;1;2;1;94;;2;960.90045106;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038225;1;1;1;94;;2;895.13206462;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038225;1;2;1;94;;2;895.13206462;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038226;1;1;1;94;;2;1158.7017198;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038227;1;1;1;94;;2;960.90045106;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038227;1;2;1;94;;2;960.90045106;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038228;1;1;1;94;;2;1158.7017198;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038229;1;1;1;94;;2;1609.8579142;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038230;1;1;1;94;;2;1327.3519405;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038230;1;2;1;94;;2;1327.3519405;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038230;1;3;1;94;;2;1327.3519405;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038232;1;1;1;94;;1;1178.9809983;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038232;1;2;1;94;;1;1178.9809983;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038232;1;3;1;94;;1;1178.9809983;15;2;15;15790;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038232;1;4;1;94;;1;1178.9809983;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038232;1;5;1;94;;1;1178.9809983;15;2;15;15759;.;;;1;;;;;2;;;;;;;1;.;.;.;;2;.;.;.;1;;;
20241252;12;2024;8038233;1;1;1;94;;1;749.20692235;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038233;1;2;1;94;;1;749.20692235;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038234;1;1;1;94;;1;1915.3896737;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038235;1;1;1;94;;1;2329.9519259;15;2;15;15299;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038236;1;1;1;94;;1;1640.1524339;15;2;25;25871;.;;;1;;;;;1;1;840;370;1969;2011;2011;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038237;1;1;1;94;;1;4784.2811302;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038237;1;2;1;94;;1;4784.2811302;15;2;15;15673;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038237;1;3;1;94;;1;4784.2811302;15;2;15;15238;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038237;1;4;1;94;;1;4784.2811302;15;2;15;15238;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038238;1;1;1;94;;1;4949.7560538;15;2;15;15001;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038238;1;2;1;94;;1;4949.7560538;15;2;15;15001;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038239;1;1;1;94;;1;3059.8909198;15;2;11;11001;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038239;1;2;1;94;;1;3059.8909198;15;2;05;05001;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038239;1;3;1;94;;1;3059.8909198;15;2;11;11001;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038239;1;4;1;94;;1;3059.8909198;15;2;11;11001;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038240;1;1;1;94;;1;3162.3824974;15;2;11;11001;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038241;1;1;1;94;;1;1128.9687106;15;2;15;15763;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038241;1;2;1;94;;1;1128.9687106;15;2;15;15001;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038241;1;3;1;94;;1;1128.9687106;15;2;15;15763;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038243;1;1;1;94;;1;4255.3226858;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038243;1;2;1;94;;1;4255.3226858;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038243;1;3;1;94;;1;4255.3226858;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038244;1;1;1;94;;1;4650.5494332;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
