PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20240101;01;2024;7655995;1;2;1;60;05;1;1484.395054;05;1;5320;2;;;;;;;;;;;;18;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;3;3;6;;;;800000;800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;800000;1;;3;;1;2;12;40;;;40;;;;1;5;;3;;2;;;;2;2;1;0;48;1;;3;;2;;;;;;2;;;;1;1;1;2;1;1;2;1;2;2;2;2;2;2;1;2;2;1;11;20;8;1;800000;53;5320;9621
20240101;01;2024;7655996;1;1;1;60;05;1;1653.3606473;05;1;4921;2;;;;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;3;3;6;;;;2000000;2000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;500000;1;;3;;1;2;12;70;;;70;;;;1;4;;3;;2;;;;2;2;1;0;36;1;;3;;2;;;;;;2;;;;1;1;1;1;2;1;1;1;1;2;2;1;1;2;2;2;2;2;3;5;8;1;500000;49;4921;8323
20240101;01;2024;7655996;1;2;1;60;05;1;1653.3606473;05;1;4711;1;2;1;;1;;1;;1;2;1;1;48;1;;1;1;1;1;1;2;1160000;2;;2;;;2;;2;;2;;2;;2;;;1;140000;2;2;;;2;;;2;;;1;500000;2;1;1200000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;7;5;;1;;1;2;1;98;1;1;1;8;24;1;;5;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;30;1;1;1160000;47;4711;5223
20240101;01;2024;7655996;1;3;1;60;05;1;1653.3606473;05;1;4530;1;2;1;;1;;1;;1;2;1;1;3;1;;1;1;1;1;1;2;1160000;2;;2;;;2;;2;;2;;2;;2;;;1;140000;2;2;;;2;;;2;;;2;;;1;400000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;48;;;48;;;;6;4;;1;;1;2;1;5;1;1;1;6;24;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;30;1;1;1160000;45;4530;9621
20240101;01;2024;7655997;1;1;1;60;05;1;2337.6188299;05;1;8121;1;2;2;12;1;;1;;1;2;1;1;84;1;;1;1;1;1;1;2;1200000;2;;2;;;2;;2;;2;;2;;2;;;1;104600;1;2;;;2;;;2;;;2;;;1;1200000;2;;1;600000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;7;7;;1;;1;1;1;9;1;1;1;0;12;1;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;15;2;1;1200000;81;8121;9112
20240101;01;2024;7655997;1;2;1;60;05;1;2337.6188299;05;1;6820;1;1;;;2;3;2;7410;1;2;1;1;12;1;;1;1;1;1;1;2;1160000;2;;2;;;2;;2;;2;;2;;2;;;1;104600;2;2;;;2;;;2;;;2;;;1;1160000;2;;1;500000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;4;2;;1;;1;2;1;20;1;1;1;0;15;1;;2;;2;;;;;;2;;;;1;1;1;2;2;2;2;1;2;2;1;1;2;2;2;2;2;1;3;15;2;1;1160000;68;6820;6113
20240101;01;2024;7655998;1;2;1;60;05;1;1618.7441598;05;1;4690;1;2;2;2;1;;1;;1;2;1;1;2;1;;1;1;1;1;1;2;;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;40;2;;;6;1;;1;;1;1;1;2;1;1;1;0;24;4;;13;FALTA DE TIEMPO;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;3;1;;46;4690;1221
20240101;01;2024;7655999;1;1;1;60;05;1;649.17032362;05;1;4761;2;;;;;;;;;;;;98;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;3000000;1;0;1500000;500000;0;0;;;;;;;;;;;;;;;;;;1;2;;2;;600000;1;;3;;1;1;12;72;;;72;;;;1;7;;1;;1;1;2;30;1;1;1;24;24;2;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;3;1;600000;47;4761;5223
20240101;01;2024;7655999;1;2;1;60;05;1;649.17032362;05;1;8530;1;2;1;;1;;1;;1;1;1;1;407;2;;1;1;1;1;2;2;5400000;1;150000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;5000000;1;5000000;1;2500000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;0;3;;;9;7;;1;;1;3;1;33;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;1;1;1;2;10;1;1;5400000;85;8530;2341
20240101;01;2024;7655999;1;3;1;60;05;1;649.17032362;05;1;5630;1;1;;;1;;1;;2;2;2;2;12;1;;1;1;1;1;1;2;400000;2;;1;100000;2;1;100000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;25;2;;25;;;;4;7;;3;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;10;3;1;500000;56;5630;5131
