PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P6290;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20241044;10;2024;7981628;1;2;1;50;;2;815.90699834;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981629;1;1;1;50;;2;894.57631692;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981629;1;2;1;50;;2;894.57631692;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981629;1;3;1;50;;2;894.57631692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981629;1;4;1;50;;2;894.57631692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981629;1;5;1;50;;2;894.57631692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981629;1;6;1;50;;2;894.57631692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981630;1;1;1;50;;2;806.90174404;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981630;1;2;1;50;;2;806.90174404;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981630;1;3;1;50;;2;806.90174404;66;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981630;1;7;1;50;;2;806.90174404;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981630;1;8;1;50;;2;806.90174404;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981630;1;9;1;50;;2;806.90174404;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981632;1;1;1;50;;2;824.02659772;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981632;1;2;1;50;;2;824.02659772;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981632;1;8;1;50;;2;824.02659772;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
