PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240835;08;2024;7893925;1;1;01;;1;69.474720126;66;1;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;4;;;;500000;;;;;;;;;;1;;;1
20240835;08;2024;7893926;1;1;01;;1;396.59368626;66;2;4;3;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;2
20240835;08;2024;7893927;1;1;01;;1;411.31096768;66;1;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;320000;;1;;;;;;;;;;1
20240835;08;2024;7893928;1;1;01;;1;463.90355749;66;1;1;2;1;2;1;1;1;2;1;1;2;1;1;1;1;1;1;3;3;;;;;410000;;;;;;;;;1;;;3
20240835;08;2024;7893929;1;1;01;;1;147.13223707;66;1;1;2;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;2
20240835;08;2024;7893930;1;1;01;;1;458.80271189;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;470000;;1;;;;;;;;;;3
20240835;08;2024;7893931;1;1;01;;1;223.88208701;66;2;1;4;1;2;1;1;1;2;1;1;4;1;1;1;1;1;1;4;1;;;75000000;450000;;;1;;;;;;;;;;1
20240835;08;2024;7893932;1;1;01;;1;284.8968772;66;1;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;3;3;3;;;;;550000;;1;;;;;;;;;;1
20240835;08;2024;7893933;1;1;01;;1;580.89553553;66;2;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;3;;;;;350000;;1;;;;;;;;;;3
20240835;08;2024;7893937;1;1;01;;2;233.56098316;66;2;1;4;1;1;2;2;2;;2;1;2;1;2;1;5;2;1;5;4;;;;200000;;;;;;;;;;1;;;1
20240835;08;2024;7893938;1;1;01;;2;247.63875656;66;1;4;2;1;1;2;2;2;;2;1;4;3;3;1;4;2;1;4;1;;;250000000;500000;;;;;;;;;;1;;;3
20240835;08;2024;7893939;1;1;01;;2;164.59392789;66;1;1;4;1;1;2;2;2;;2;1;4;3;2;1;5;2;1;5;4;;;;250000;;;;;;;;;;1;;;3
20240835;08;2024;7893940;1;1;01;;2;352.45994269;66;1;1;2;1;1;2;2;2;;2;1;4;3;2;1;4;2;1;5;1;;;60000000;250000;;;1;;;;;;;;;;4
20240835;08;2024;7893941;1;1;01;;2;330.82606684;66;1;1;2;1;1;2;2;2;;2;1;3;2;3;1;4;2;1;5;4;;;;80000;;;;;;;;;;1;;;4
20240835;08;2024;7893942;1;1;01;;2;291.89219644;66;1;1;2;1;1;2;2;2;;2;1;3;2;2;1;5;2;1;4;1;;;85000000;200000;;;1;;;;;;;;;;3
20240835;08;2024;7893943;1;1;01;;2;351.08478759;66;1;1;2;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;5;4;;;;250000;;;1;;;;;;;;;;4
20240835;08;2024;7893944;1;1;01;;2;209.81218955;66;1;1;2;1;1;2;2;2;;2;1;4;2;3;1;4;2;1;5;3;;;;;100000;;;;;;;;;1;;;3
20240835;08;2024;7893945;1;1;01;;2;189.21625371;66;1;1;4;1;1;2;2;2;;2;1;3;1;2;1;5;2;1;4;4;;;;400000;;;1;;;;;;;;;;2
20240835;08;2024;7893946;1;1;01;;2;233.56098316;66;1;1;4;1;1;2;2;2;;2;1;3;1;2;1;4;2;1;4;1;;;400000000;400000;;;1;;;;;1;;;;;1
20240835;08;2024;7893947;1;1;01;;2;167.85022957;66;1;1;2;1;1;2;2;2;;2;1;4;1;3;1;4;2;1;5;4;;;;200000;;;;;;;;;;1;;;1
20240835;08;2024;7893948;1;1;01;;2;292.99949983;66;1;5;3;1;1;2;2;2;;2;1;2;2;2;1;4;2;1;5;4;;;;100000;;;1;;;;;;;;;;4
20240835;08;2024;7893949;1;1;01;;1;648.03904806;66;2;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;120000000;600000;;;1;;;;1;1;;;;;4
20240835;08;2024;7893950;1;1;01;;1;309.62037069;66;2;1;2;1;2;2;1;1;2;1;1;2;1;1;1;1;1;6;;3;;;;;130000;;;;;;;;;1;;;1
20240835;08;2024;7893951;1;1;01;;1;409.58762398;66;1;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;120000000;800000;;;1;;;;;1;;;;;2
20240835;08;2024;7893954;1;1;01;;1;550.82456425;66;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;95000000;450000;;;1;;;;;;;;;;2
20240835;08;2024;7893955;1;1;01;;1;274.22085058;66;2;1;4;1;3;1;1;1;2;1;1;2;1;1;1;1;1;1;3;3;;;;;350000;;1;;;;;;;;;;1
20240835;08;2024;7893957;1;1;01;;1;788.71109301;66;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;450000;;1;;;;1;;;;;;4
20240835;08;2024;7893958;1;1;01;;1;196.6117666;66;2;1;4;1;3;1;1;1;2;1;1;5;1;1;1;1;1;1;3;1;;;180000000;400000;;;1;;;;;;;;;;2
20240835;08;2024;7893960;1;1;01;;1;309.28430826;66;2;1;4;1;3;2;1;1;2;1;1;2;1;1;1;1;1;1;4;3;;;;;350000;;1;;;;;;;;;;3
20240835;08;2024;7893961;1;1;01;;1;100.08425308;66;1;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;3;5;;;;200000;;;1;;;;;;;;;;1
20240835;08;2024;7893962;1;1;01;;1;632.17761782;66;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;450000;;1;;;;;;;;;;2
20240835;08;2024;7893964;1;1;01;;2;468.77008859;66;1;1;2;1;1;2;2;2;;1;1;3;1;3;1;4;1;1;5;4;;;;200000;;;1;;;;;;;;;;2
20240835;08;2024;7893965;1;1;01;;2;462.16304096;66;1;1;2;1;1;2;2;2;;1;1;4;3;3;1;4;1;1;4;1;;;98;150000;;;1;;;;;;;;;;3
20240835;08;2024;7893966;1;1;01;;2;949.89752877;66;1;1;2;1;1;2;2;2;;1;1;3;2;2;1;5;1;1;5;1;;;98;100000;;;;;;;;;;1;;;4
20240835;08;2024;7893967;1;1;01;;2;341.73886526;66;1;3;2;1;1;2;2;2;;1;1;2;2;3;1;4;1;1;5;1;;;98;150000;;;1;;;;;;;;;;3
20240835;08;2024;7893968;1;1;01;;2;452.06459591;66;1;1;2;1;1;2;2;2;;1;1;4;3;3;1;4;1;1;5;1;;;98;150000;;;1;;;;;;;;;;4
20240835;08;2024;7893969;1;1;01;;2;1181.4139071;66;1;4;2;1;0;2;2;2;;1;1;1;1;2;1;4;1;1;5;1;;;10000000;80000;;;1;;;;;;;;;;4
20240835;08;2024;7893970;1;1;01;;2;303.46327621;66;1;4;1;1;1;2;2;2;;2;1;2;2;3;1;5;2;1;5;4;;;;100000;;;;;;;;;;1;;;2
20240835;08;2024;7893971;1;1;01;;2;618.29098514;66;1;5;3;1;1;2;2;2;;2;1;1;1;3;2;4;2;2;5;4;;;;400000;;;;;;;;;;1;;;6
20240835;08;2024;7893972;1;1;01;;2;989.98572443;66;1;1;2;1;1;2;2;2;;1;1;5;4;3;1;4;1;1;4;1;;;98;200000;;;1;;;;;;;;;;9
20240835;08;2024;7893973;1;1;01;;2;488.07298934;66;1;5;2;1;1;2;2;2;;2;1;1;1;3;1;4;2;5;5;4;;;;30000;;;;;;;;;;1;;;5
20240835;08;2024;7893974;1;1;01;;2;316.74829344;66;1;4;1;1;1;2;2;2;;2;1;1;1;3;1;5;2;1;5;4;;;;80000;;;;;;;;;;1;;;2
20240835;08;2024;7893975;1;1;01;;2;508.4741917;66;1;4;1;1;1;2;2;2;;2;1;2;2;3;1;5;2;1;5;4;;;;100000;;;;;;;;;;1;;;6
20240835;08;2024;7893976;1;1;01;;2;406.06610069;66;1;5;3;1;1;2;2;2;;2;1;1;1;3;2;4;2;5;5;4;;;;200000;;;;;;;;;;1;;;4
20240835;08;2024;7893977;1;1;01;;2;1366.955461;66;1;1;2;1;1;2;2;2;;1;1;4;4;2;1;4;1;1;5;1;;;98;180000;;;1;;;;;;;;;;11
